hot-points_range=100,6393,6459,6611,6670,6496,6560,6580,6766,6733,6819
point-query_range=100,67539,68136,67757,67919,66850,68952,68595,70793,71824,71707
points-covered-pk_range=100,5329,5411,5463,5480,5477,5457,5472,5602,5631,5617
points-covered-si_range=100,5635,5774,5791,5782,5819,5749,5901,6020,6113,5993
points-notcovered-pk_range=100,5096,5161,5207,5232,5222,5190,5222,5327,5326,5340
points-notcovered-si_range=100,3269,3299,3320,3313,3305,3278,3321,3389,3385,3384
random-points_range=1000,609,615,626,625,625,623,621,642,636,642
random-points_range=100,5130,5199,5245,5271,5248,5218,5253,5375,5373,5374
random-points_range=10,29275,29512,29727,29744,29617,29481,29756,30374,30489,30557
range-covered-pk_range=100,26756,27444,27898,27910,27702,27566,29201,29992,30387,30377
range-covered-si_range=100,27743,28503,28900,28935,28792,28826,30404,30921,31405,31395
range-notcovered-pk_range=100,23711,23985,24543,24651,24202,24354,25548,26143,26487,26394
range-notcovered-si_range=100,6306,6267,6391,6383,6286,6335,6306,6448,6331,6464
read-only_range=10000,1272,1320,1349,1350,1344,1329,1410,1440,1470,1470
read-only_range=100,42032,42499,43097,42961,42745,43417,43722,44909,45144,45349
read-only_range=10,55545,56008,56426,56060,55579,56961,56292,57900,58010,57826
scan_range=100,967.9,1074.9,1119.2,1102.0,1064.5,1068.1,1258.6,1317.4,1360.5,1345.9
delete_range=100,23779,23706,23785,23842,23699,23616,23671,23624,23703,23825
insert_range=100,24185,24418,24100,24375,24222,24442,24244,24084,24246,24203
read-write_range=100,35854,36220,36584,36543,36271,36597,36699,37525,37580,37635
read-write_range=10,41816,41932,42219,42194,41839,42254,42041,42744,42916,43006
update-index_range=100,15806,15828,15850,15862,15838,15752,15773,15795,15773,15885
update-inlist_range=100,10368,10318,10405,10359,10402,10196,10384,10544,10478,10405
update-nonindex_range=100,21109,21210,21158,21196,21351,21209,21144,21239,21253,21352
update-one_range=100,8510,8547,8501,8516,8514,8464,8474,8522,8572,8538
update-zipf_range=100,21755,21768,21727,21766,21828,21791,21698,21818,21854,21925
write-only_range=10000,32047,32260,32268,32181,32148,32048,32040,32334,32115,32437
