hot-points_range=100,1.04,1.03,1.02,1.02,1.05,1.05,1.06,1.05
point-query_range=100,0.98,1.00,0.98,1.04,1.00,1.03,1.06,1.05
points-covered-pk_range=100,1.01,1.01,0.99,1.00,1.02,1.03,1.03,1.03
points-covered-si_range=100,1.01,1.01,1.00,0.99,1.03,1.04,1.05,1.04
points-notcovered-pk_range=100,1.02,1.01,0.99,1.01,1.02,1.02,1.03,1.02
points-notcovered-si_range=100,1.03,1.01,0.97,1.01,1.02,1.02,1.03,1.03
random-points_range=1000,1.02,1.02,0.99,1.01,1.03,1.02,1.03,1.02
random-points_range=100,1.02,1.00,0.99,1.00,1.01,1.02,1.02,1.02
random-points_range=10,1.01,1.00,0.99,1.01,1.00,1.01,1.03,1.03
range-covered-pk_range=100,1.02,1.02,1.02,1.02,1.06,1.08,1.10,1.10
range-covered-si_range=100,1.01,1.02,1.01,1.01,1.06,1.08,1.10,1.09
range-notcovered-pk_range=100,1.02,1.02,1.02,1.01,1.05,1.07,1.09,1.09
range-notcovered-si_range=100,1.00,0.99,0.99,1.00,1.01,1.01,1.02,1.02
read-only_range=10000,1.04,1.06,1.03,1.01,1.08,1.11,1.13,1.13
read-only_range=100,1.02,1.01,1.02,1.04,1.03,1.07,1.08,1.08
read-only_range=10,1.00,1.00,1.01,1.04,1.01,1.04,1.05,1.05
scan_range=100,1.04,1.04,1.07,0.96,1.22,1.24,1.30,1.29
delete_range=100,1.01,1.00,0.99,0.99,1.00,0.99,1.00,1.00
insert_range=100,1.01,1.01,1.00,1.00,1.00,1.00,1.01,1.00
read-write_range=100,1.01,1.01,1.01,1.03,1.02,1.05,1.07,1.06
read-write_range=10,1.00,1.00,1.01,1.03,1.01,1.03,1.05,1.04
update-index_range=100,1.00,1.01,1.00,1.00,0.99,1.00,0.99,1.00
update-inlist_range=100,1.00,1.00,1.00,1.00,1.00,1.01,1.02,1.02
update-nonindex_range=100,1.01,1.01,1.00,1.00,1.01,1.00,1.01,1.01
update-one_range=100,1.01,1.00,1.00,1.00,1.01,1.00,1.00,1.00
update-zipf_range=100,1.01,1.01,1.01,1.00,1.00,0.99,1.01,1.00
write-only_range=10000,1.01,1.00,1.00,1.00,1.00,0.99,1.01,1.00
