hot-points_range=100,23559,64985,51463,52419,54104
point-query_range=100,276596,259408,240552,237595,235294
points-covered-pk_range=100,4115,3989,4019,3983,3972
points-covered-si_range=100,66791,58358,52814,53100,54183
points-notcovered-pk_range=100,4106,3982,4008,3976,3963
points-notcovered-si_range=100,3598,3490,3507,3477,3468
random-points_range=1000,412,403,406,402,402
random-points_range=100,4106,3982,4010,3975,3963
random-points_range=10,38663,37213,36990,36616,36465
range-covered-pk_range=100,129651,121396,117425,115548,114877
range-covered-si_range=100,518576,469522,414863,400000,399997
range-notcovered-pk_range=100,126355,118036,112100,110837,110642
range-notcovered-si_range=100,4039,3940,3982,3944,3937
read-only-count_range=1000,25804,24876,24610,24266,24242
read-only-distinct_range=1000,102074,130182,125201,124297,123937
read-only-order_range=1000,137245,146400,139393,138074,138012
read-only_range=10000,7530,8404,7767,7737,7688
read-only_range=100,199190,207973,196970,194457,193341
read-only_range=10,255547,261820,246413,242870,241084
read-only-simple_range=1000,163516,154912,148544,146718,146739
read-only-sum_range=1000,170692,161374,156048,154096,153497
scan_range=100,2095,1580,1473,1460,1457
scan.warm_range=100,2101,1576,1473,1458,1458
delete_range=100,28213,41901,62668,61917,60518
insert_range=100,45635,117833,113642,110067,95439
read-write_range=100,48795,137789,131658,129907,129147
read-write_range=10,60987,148538,146991,145800,144907
update-index_range=100,8403,26380,32722,30610,30273
update-inlist_range=100,5012,5898,7473,7305,6974
update-nonindex_range=100,28653,59910,70506,72057,70368
update-one_range=100,48290,63477,65914,64524,61084
update-zipf_range=100,36077,93938,97726,94941,91433
write-only_range=10000,41094,70795,105655,101098,101206
