hot-points_range=100,1.00,0.98,0.98,0.98,3.12,3.14
point-query_range=100,0.92,1.03,1.05,1.10,1.00,1.07
points-covered-pk_range=100,1.01,0.99,0.99,1.01,1.00,1.02
points-covered-si_range=100,1.03,1.00,1.01,1.01,1.00,1.02
points-notcovered-pk_range=100,0.99,1.00,0.84,0.98,1.00,0.95
points-notcovered-si_range=100,1.07,1.13,1.08,1.17,1.11,1.15
random-points_range=1000,0.98,1.08,1.03,1.03,1.03,1.05
random-points_range=100,1.01,1.09,1.03,1.07,1.05,1.08
random-points_range=10,0.91,1.02,0.93,0.92,1.01,0.97
range-covered-pk_range=100,0.95,1.01,1.01,1.00,0.99,0.97
range-covered-si_range=100,0.99,1.03,1.03,1.02,1.00,1.00
range-notcovered-pk_range=100,1.03,1.06,1.03,1.07,1.04,1.11
range-notcovered-si_range=100,0.99,0.98,0.90,1.00,0.92,0.99
read-only-count_range=1000,1.00,1.05,1.00,1.03,1.02,1.06
read-only-distinct_range=1000,1.03,1.03,1.04,1.11,1.08,1.12
read-only-order_range=1000,1.01,1.06,1.02,1.15,1.13,1.17
read-only_range=10000,1.02,1.09,1.09,1.07,1.12,1.12
read-only_range=100,1.05,1.20,1.11,1.20,1.18,1.27
read-only_range=10,1.01,1.19,1.12,1.19,1.06,1.19
read-only-simple_range=1000,0.97,1.08,1.00,1.10,1.08,1.15
read-only-sum_range=1000,1.02,1.05,0.99,1.05,1.04,1.12
scan_range=100,1.04,0.98,0.97,0.97,0.81,1.10
scan.warm_range=100,1.00,1.01,1.00,0.96,0.89,1.21
delete_range=100,1.02,1.05,1.02,1.05,1.06,1.09
insert_range=100,1.03,1.11,1.10,1.12,1.09,0.90
read-write_range=100,1.00,1.09,1.04,0.73,0.87,0.86
read-write_range=10,1.00,1.00,0.98,0.74,0.78,0.83
update-index_range=100,1.05,1.07,1.06,1.10,1.11,1.10
update-inlist_range=100,0.98,1.00,0.96,0.99,0.99,1.00
update-nonindex_range=100,1.03,1.05,1.02,1.08,1.06,1.07
update-one_range=100,1.01,1.06,1.05,1.07,1.13,1.12
update-zipf_range=100,0.99,0.99,0.98,0.82,0.71,0.71
write-only_range=10000,1.02,1.05,1.02,0.89,0.87,0.88
