hot-points_range=100,1.55,1.25,1.24,1.26,1.27
point-query_range=100,0.98,0.83,0.82,0.80,0.80
points-covered-pk_range=100,1.27,0.99,0.98,0.99,1.00
points-covered-si_range=100,0.90,0.78,0.78,0.79,0.79
points-notcovered-pk_range=100,1.23,0.96,0.95,0.96,0.96
points-notcovered-si_range=100,0.89,0.75,0.75,0.76,0.75
random-points_range=1000,1.30,1.04,1.03,1.08,1.07
random-points_range=100,1.22,0.96,0.95,0.96,0.96
random-points_range=10,0.97,0.77,0.76,0.75,0.75
range-covered-pk_range=100,0.86,0.75,0.73,0.73,0.72
range-covered-si_range=100,0.86,0.77,0.76,0.76,0.75
range-notcovered-pk_range=100,0.87,0.71,0.70,0.70,0.68
range-notcovered-si_range=100,0.87,0.74,0.73,0.74,0.73
read-only-count_range=1000,0.86,0.77,0.75,0.76,0.71
read-only-distinct_range=1000,1.66,1.49,1.48,1.49,1.47
read-only-order_range=1000,0.94,0.80,0.79,0.79,0.78
read-only_range=10000,1.29,0.91,0.87,1.09,1.08
read-only_range=100,1.02,0.88,0.86,0.86,0.85
read-only_range=10,0.91,0.78,0.77,0.76,0.76
read-only-simple_range=1000,0.91,0.76,0.75,0.76,0.74
read-only-sum_range=1000,0.90,0.79,0.77,0.77,0.78
scan_range=100,0.90,0.78,0.78,0.78,0.81
scan.warm_range=100,0.87,0.76,0.75,0.75,0.78
delete_range=100,1.31,1.14,1.07,1.01,0.94
insert_range=100,1.33,1.21,1.14,1.04,0.89
read-write_range=100,1.13,0.92,0.91,0.92,0.90
read-write_range=10,1.04,0.85,0.84,0.83,0.83
update-index_range=100,5.89,4.45,4.42,3.92,3.81
update-inlist_range=100,1.68,1.68,1.60,1.20,1.18
update-nonindex_range=100,1.41,1.29,1.26,1.12,1.05
update-one_range=100,1.15,1.11,1.07,1.00,0.92
update-zipf_range=100,1.39,1.28,1.24,1.10,1.04
write-only_range=10000,1.39,1.10,1.08,1.05,1.04
