hot-points_range=100,0.99,1.00,1.00,0.99,1.00,2.03,2.00,2.00
point-query_range=100,0.99,0.99,0.99,0.99,0.99,0.99,1.00,0.98
points-covered-pk_range=100,0.98,1.01,1.00,1.02,1.01,0.99,1.00,1.01
points-covered-si_range=100,1.00,0.98,0.97,1.00,1.00,0.97,0.97,0.98
points-notcovered-pk_range=100,1.00,1.00,1.00,1.00,1.00,0.98,1.00,1.00
points-notcovered-si_range=100,1.01,1.01,1.01,1.01,1.01,1.00,1.01,1.00
random-points_range=1000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
random-points_range=100,1.00,1.00,1.00,1.00,1.00,0.96,1.00,1.00
random-points_range=10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99
range-covered-pk_range=100,0.98,0.98,0.96,0.97,0.96,0.99,0.98,0.95
range-covered-si_range=100,0.97,0.97,0.97,0.98,0.96,0.99,0.97,0.95
range-notcovered-pk_range=100,1.00,0.99,1.00,0.99,0.99,0.98,0.99,0.98
range-notcovered-si_range=100,1.01,1.00,1.01,1.01,1.01,1.00,1.01,1.00
read-only-count_range=1000,1.00,1.00,1.00,1.00,0.99,0.99,1.00,0.99
read-only-distinct_range=1000,0.99,0.99,0.99,1.01,1.00,1.00,1.01,0.99
read-only-order_range=1000,0.99,1.00,1.01,1.02,1.00,1.01,1.02,1.00
read-only_range=10000,1.00,1.02,1.01,1.03,1.03,1.03,1.05,1.03
read-only_range=100,1.00,0.99,0.99,1.00,1.00,1.00,1.00,0.99
read-only_range=10,0.99,0.99,0.99,1.00,0.99,1.00,1.00,0.99
read-only-simple_range=1000,0.99,0.98,0.99,0.99,0.99,0.99,1.00,0.98
read-only-sum_range=1000,1.00,0.99,1.00,1.00,0.99,1.00,1.00,0.99
scan_range=100,0.94,0.87,0.85,0.94,0.96,0.97,0.96,0.97
scan.warm_range=100,0.95,0.87,0.86,0.94,1.02,0.95,0.97,0.97
delete_range=100,0.99,0.99,0.99,0.99,0.99,0.99,1.00,1.00
insert_range=100,1.01,0.99,0.99,0.99,1.00,1.01,1.01,1.00
read-write_range=100,1.02,1.05,1.03,1.04,1.01,0.97,0.97,0.97
read-write_range=10,1.03,1.03,1.04,1.04,1.03,0.94,0.94,0.94
update-index_range=100,1.03,1.03,1.03,1.04,1.02,1.05,1.04,1.04
update-inlist_range=100,0.99,0.99,0.99,0.99,0.99,1.05,1.05,1.04
update-nonindex_range=100,1.01,1.03,1.02,1.02,1.01,1.03,1.02,1.05
update-one_range=100,0.98,0.99,0.99,0.99,0.99,1.11,1.11,1.08
update-zipf_range=100,1.00,0.99,1.00,1.00,1.00,0.98,0.98,0.98
write-only_range=10000,1.00,1.00,1.00,1.00,1.00,0.89,0.89,0.89
