hot-points_range=100,0.97,0.99,0.94
point-query_range=100,0.97,0.98,0.96
points-covered-pk_range=100,1.00,0.99,0.99
points-covered-si_range=100,0.99,1.00,1.00
points-notcovered-pk_range=100,0.98,0.99,0.98
points-notcovered-si_range=100,0.99,0.99,0.99
random-points_range=1000,1.00,1.00,0.99
random-points_range=100,0.98,0.98,0.98
random-points_range=10,0.99,0.98,0.99
range-covered-pk_range=100,0.97,0.98,0.95
range-covered-si_range=100,0.97,0.97,0.94
range-notcovered-pk_range=100,0.98,0.98,0.97
range-notcovered-si_range=100,0.99,0.99,0.98
read-only-count_range=1000,0.99,1.00,1.00
read-only-distinct_range=1000,1.01,1.01,1.01
read-only-order_range=1000,1.01,1.01,1.00
read-only_range=10000,1.04,1.04,1.04
read-only_range=100,0.99,0.99,0.98
read-only_range=10,0.97,0.98,0.97
read-only-simple_range=1000,0.99,0.98,0.98
read-only-sum_range=1000,0.99,0.99,0.99
scan_range=100,0.97,0.99,0.96
scan.warm_range=100,0.99,1.00,0.97
delete_range=100,0.99,0.98,0.96
insert_range=100,0.99,0.96,0.98
read-write_range=100,1.00,0.99,0.98
read-write_range=10,0.99,0.98,0.98
update-index_range=100,1.00,0.99,1.00
update-inlist_range=100,1.03,0.95,1.01
update-nonindex_range=100,0.99,0.99,1.00
update-one_range=100,1.00,1.00,1.01
update-zipf_range=100,0.98,0.99,1.00
write-only_range=10000,0.97,0.97,0.99
